,Fecha,Pedido #,Ingresos netos (con formato),Estado,Tipo de cliente,Producto(s),Artículos vendidos,Cupón(es),Ingresos netos,Atribución,Número de factura
0,2024-07-15 23:53:14,66088,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
1,2024-07-15 23:16:02,66087,"40,01€",completed,returning,"2× Cybercola Cherry - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
2,2024-07-15 22:38:49,66085,"40,01€",recogida,returning,"2× Cybercola Cherry - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
3,2024-07-15 22:08:13,66083,"40,00€",completed,returning,"1× Cybercola Cherry - Botella 33cl, 2× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
4,2024-07-15 22:00:16,66082,"40,00€",completed,returning,"3× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
5,2024-07-15 21:48:43,66081,"40,00€",completed,returning,"1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero - Botella 33cl, 1× Cybercola Txirene, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Orgánico: Google,
6,2024-07-15 21:26:47,66080,"40,00€",completed,returning,"2× Cybercola Light - Botella 33 cl., 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
7,2024-07-15 21:26:27,66079,"40,00€",completed,returning,"2× Cybercola Light - Botella 33 cl., 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
8,2024-07-15 21:25:52,66078,"40,00€",completed,returning,"3× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Referido: Mailchi.mp,
9,2024-07-15 21:17:58,66077,"40,01€",completed,returning,"2× Cybercola Cherry - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
10,2024-07-15 21:14:18,66075,"39,99€",completed,returning,"2× Cybercola Zero - Botella 33cl, 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Fuente: Amigos+Cybercola+Barcelona,
11,2024-07-15 21:15:13,66076,"39,99€",completed,returning,"1× Cybercola Zero - Botella 33cl, 1× Cybercola Cherry - Botella 33cl, 1× Cybercola Light - Botella 33 cl., 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.05,Directo,
12,2024-07-15 21:12:56,66074,"40,01€",completed,returning,"1× Cybercola Zero - Botella 33cl, 2× Cybercola Cherry - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
13,2024-07-15 21:11:00,66073,"40,00€",completed,returning,"3× Cybercola Zero - Botella 33cl, 1× Cybercola Zero – Lata 33cl Edición Verano",4,,33.06,Fuente: Amigos+Cybercola+Barcelona,
